task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
166	38/5040fb	73336	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (SRR13500958)	COMPLETED	0	2025-07-30 12:55:02.264	1.6s	1s	125.9%	10.8 MB	26.9 MB	17 MB	19.4 KB
154	f0/cae73e	73799	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (ERR5556343)	COMPLETED	0	2025-07-30 12:55:03.885	1.6s	1s	119.5%	21.9 MB	41.2 MB	17 MB	33.5 KB
157	b5/f836e7	74262	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (ERR5405022)	COMPLETED	0	2025-07-30 12:55:05.492	1.6s	2s	116.1%	68.9 MB	3.6 GB	17 MB	34.5 KB
164	c4/930011	74723	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (ERR5181310)	COMPLETED	0	2025-07-30 12:55:07.079	2.3s	2s	77.3%	58.6 MB	15 GB	17 MB	36.8 KB
158	c0/37fc60	75003	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (ERR5743893)	COMPLETED	0	2025-07-30 12:55:09.406	1.6s	1s	123.1%	8.7 MB	21.5 MB	17 MB	29.3 KB
194	4c/382105	75463	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (ERR5181310)	COMPLETED	0	2025-07-30 12:55:11.008	1.4s	0ms	116.4%	4.5 MB	26.3 MB	76.6 KB	30.1 KB
170	2d/417679	75644	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SRR13500958)	COMPLETED	0	2025-07-30 12:55:12.375	35.7s	35s	149.3%	670.1 MB	6.7 GB	336.3 MB	29.1 MB
169	44/64c051	77092	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (ERR5181310)	COMPLETED	0	2025-07-30 12:55:48.048	3m 2s	3m 2s	117.1%	1.6 GB	6.7 GB	2.9 GB	237 MB
172	23/3888eb	80973	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (ERR5743893)	COMPLETED	0	2025-07-30 12:58:50.460	42.6s	42s	143.0%	1.1 GB	6.7 GB	367.4 MB	31.9 MB
171	53/b41530	82588	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (ERR5405022)	COMPLETED	0	2025-07-30 12:59:33.040	1m	1m	131.6%	1020.2 MB	6.7 GB	741.1 MB	53.5 MB
168	51/a7d6ff	84465	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (ERR5556343)	COMPLETED	0	2025-07-30 13:00:33.351	1m 4s	1m 4s	129.5%	1.4 GB	6.7 GB	737.3 MB	44.8 MB
197	5f/6e535c	86413	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (ERR5181310)	COMPLETED	0	2025-07-30 13:01:37.546	407ms	0ms	211.5%	4 MB	51.2 MB	147.9 KB	60.1 KB
198	39/1cd715	86601	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (ERR5181310)	COMPLETED	0	2025-07-30 13:01:37.972	312ms	16ms	103.2%	0	0	125 KB	31.1 KB
196	4e/266cd8	86592	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:MAKE_VARIANTS_LONG_TABLE	COMPLETED	0	2025-07-30 13:01:37.959	4.3s	4s	105.7%	89.4 MB	1.2 GB	27.4 MB	103.1 KB
199	ab/52d1ef	87129	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (ERR5181310.consensus.fa)	COMPLETED	0	2025-07-30 13:01:42.251	6.6s	5s	106.9%	384.6 MB	1.5 GB	23 MB	2.6 MB
201	84/fae528	87613	NFCORE_VIRALRECON:ILLUMINA:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2025-07-30 13:02:20.375	551ms	233ms	80.8%	3.8 MB	9.6 MB	995.1 KB	9.1 KB
200	79/c63b41	87742	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:QUAST	COMPLETED	0	2025-07-30 13:04:04.437	9.9s	9.6s	165.5%	173.3 MB	2.4 GB	187.9 MB	8.2 MB
202	8b/348043	88613	NFCORE_VIRALRECON:ILLUMINA:MULTIQC (1)	COMPLETED	0	2025-07-30 13:04:14.400	23.2s	22.6s	91.1%	153.3 MB	1.2 GB	105.6 MB	37.3 MB
